instrument_id	display_name	category	folder_relpath	sfz_relpath	zones_file	zone_count
aerophones_edge_blown_aerophones_ball_whistle	Ball Whistle	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Ball Whistle	Aerophones/Edge-blown Aerophones/Ball Whistle.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Ball Whistle/tables/aerophones_edge_blown_aerophones_ball_whistle.zones.tsv	2
aerophones_edge_blown_aerophones_baroque_alto_recorder_keyswitch	Baroque Alto Recorder - Keyswitch	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Alto Recorder	Aerophones/Edge-blown Aerophones/Baroque Alto Recorder - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Alto Recorder/tables/aerophones_edge_blown_aerophones_baroque_alto_recorder_keyswitch.zones.tsv	36
aerophones_edge_blown_aerophones_baroque_alto_recorder_staccato	Baroque Alto Recorder - Staccato	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Alto Recorder	Aerophones/Edge-blown Aerophones/Baroque Alto Recorder - Staccato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Alto Recorder/tables/aerophones_edge_blown_aerophones_baroque_alto_recorder_staccato.zones.tsv	12
aerophones_edge_blown_aerophones_baroque_alto_recorder_susvib	Baroque Alto Recorder - SusVib	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Alto Recorder	Aerophones/Edge-blown Aerophones/Baroque Alto Recorder - SusVib.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Alto Recorder/tables/aerophones_edge_blown_aerophones_baroque_alto_recorder_susvib.zones.tsv	12
aerophones_edge_blown_aerophones_baroque_alto_recorder_sustain	Baroque Alto Recorder - Sustain	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Alto Recorder	Aerophones/Edge-blown Aerophones/Baroque Alto Recorder - Sustain.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Alto Recorder/tables/aerophones_edge_blown_aerophones_baroque_alto_recorder_sustain.zones.tsv	12
aerophones_edge_blown_aerophones_baroque_bass_recorder_keyswitch	Baroque Bass Recorder - Keyswitch	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Bass Recorder	Aerophones/Edge-blown Aerophones/Baroque Bass Recorder - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Bass Recorder/tables/aerophones_edge_blown_aerophones_baroque_bass_recorder_keyswitch.zones.tsv	41
aerophones_edge_blown_aerophones_baroque_bass_recorder_staccato	Baroque Bass Recorder - Staccato	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Bass Recorder	Aerophones/Edge-blown Aerophones/Baroque Bass Recorder - Staccato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Bass Recorder/tables/aerophones_edge_blown_aerophones_baroque_bass_recorder_staccato.zones.tsv	15
aerophones_edge_blown_aerophones_baroque_bass_recorder_susvib	Baroque Bass Recorder - SusVib	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Bass Recorder	Aerophones/Edge-blown Aerophones/Baroque Bass Recorder - SusVib.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Bass Recorder/tables/aerophones_edge_blown_aerophones_baroque_bass_recorder_susvib.zones.tsv	14
aerophones_edge_blown_aerophones_baroque_bass_recorder_sustain	Baroque Bass Recorder - Sustain	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Bass Recorder	Aerophones/Edge-blown Aerophones/Baroque Bass Recorder - Sustain.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Bass Recorder/tables/aerophones_edge_blown_aerophones_baroque_bass_recorder_sustain.zones.tsv	12
aerophones_edge_blown_aerophones_baroque_soprano_recorder_keyswitch	Baroque Soprano Recorder - Keyswitch	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder	Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder/tables/aerophones_edge_blown_aerophones_baroque_soprano_recorder_keyswitch.zones.tsv	25
aerophones_edge_blown_aerophones_baroque_soprano_recorder_staccato	Baroque Soprano Recorder - Staccato	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder	Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder - Staccato.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder/tables/aerophones_edge_blown_aerophones_baroque_soprano_recorder_staccato.zones.tsv	12
aerophones_edge_blown_aerophones_baroque_soprano_recorder_sustain	Baroque Soprano Recorder - Sustain	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder	Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder - Sustain.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Soprano Recorder/tables/aerophones_edge_blown_aerophones_baroque_soprano_recorder_sustain.zones.tsv	13
aerophones_edge_blown_aerophones_baroque_tenor_recorder_keyswitch	Baroque Tenor Recorder - Keyswitch	Aerophones/Edge-blown Aerophones	Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder	Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder - Keyswitch.sfz	../instruments/VCSL-1.2.2-RC/Aerophones/Edge-blown Aerophones/Baroque Tenor Recorder/tables/aerophones_edge_blown_aerophones_baroque_tenor_recorder_keyswitch.zones.tsv	39
